term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.005227818998279168,0.03318616607215392,-158.31178250587695,0,0.004901980936787354,0.005583127781336404
poor_or_fair_health_raw_value,1.101500183477225,0.043336075331047406,2.2307754703694385,0.025696005566625817,1.0144981436525287,1.1972622130549957
mean_temp_f,1.1950245246670226,0.04415021881962609,4.035466021916866,5.4494025856826585e-5,1.0920887642384787,1.3069439657933268
mean_humidity_percent,1.1572534630470652,0.04203702904032671,3.474305790361629,5.121769791033074e-4,1.0651056613612644,1.2574126970787372
unemployment_raw_value,1.2245652245527696,0.04402229177384638,4.601892679882091,4.186689274401232e-6,1.1278527327466774,1.3308369434034086
gdp,0.9191045469007306,0.035580231267565494,-2.370850286862186,0.017747218179255835,0.860520486255393,0.9912231538750437
children_in_poverty_raw_value,1.0316466285966126,0.045727630371997424,0.6813428559108111,0.4956545719414655,0.9476625951724766,1.1230249528170961
uninsured_raw_value,0.5888488096388552,0.049051135431465685,-10.796606715415138,3.5716006256085926e-27,0.5407427031260666,0.64243382868266
