variable,vif
poor_or_fair_health_raw_value,1.7031562710257522
mean_temp_f,1.764683154294931
mean_humidity_percent,1.5981315666773475
unemployment_raw_value,1.7586321037042125
gdp,1.1520091703267454
children_in_poverty_raw_value,1.8996221003047462
uninsured_raw_value,2.1813278545445147
