CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36085,"Richmond, NY",14596701,14735145,14815045,15187466,15293141,15503633,15629274,15913484,16937194,16770929,16731039,17112965,17411156,17492303,18158675
36087,"Rockland, NY",21031674,20920499,20744349,19505576,19456522,20078244,19153297,17685761,17338779,17469672,17274566,18793647,18463165,18494300,19026544
36089,"St. Lawrence, NY",4495742,4637161,4605428,4737978,4869464,4694125,4743196,4860344,4696678,4694668,4703376,4705108,4792493,4953192,5150706
36091,"Saratoga, NY",10112000,10223024,10304665,10514216,10470057,10976368,11236794,11692407,12102126,12270428,11569184,12268460,12440793,12720458,13000396
36093,"Schenectady, NY",8306970,8260499,8077136,8158370,7997416,8146459,8317609,8510436,8398130,8699549,8349438,9219488,9062705,9570385,9803339
36095,"Schoharie, NY",957178,939068,939130,953008,941388,966477,974096,1050031,1060363,1062250,982022,978622,1003334,999639,1011100
36097,"Schuyler, NY",543602,552862,541792,544635,570922,549279,543031,521078,532748,528693,532809,510398,531436,534087,545491
36099,"Seneca, NY",1352770,1375092,1376808,1372610,1404871,1415042,1399366,1468476,1480209,1577828,1442079,1569143,1567031,1553675,1598581
36101,"Steuben, NY",4591498,4538188,4371363,4545166,4713274,4509558,4412788,4355031,4510992,4573291,4422134,4491467,4770115,4695588,4719141
36103,"Suffolk, NY",93112788,92616487,94285380,94461388,95175859,96596993,97846818,98952851,98861762,100161991,100469779,105028399,105044946,105122822,108243017
36105,"Sullivan, NY",2879986,2823864,2897165,2884371,2850706,2865965,2925287,2937040,3078439,3097957,3016228,3165937,3267873,3419286,3482973
36107,"Tioga, NY",1574149,1540533,1533713,1715733,1803710,1864207,1716005,1699235,1757032,1713988,1595792,1564419,1651349,1627949,1625185
36109,"Tompkins, NY",6121849,6083580,6123189,6018223,5937712,6082558,6101705,6140234,6184849,6263722,5812300,6050970,6163642,6240262,6427486
36111,"Ulster, NY",7117457,7065707,7134836,7191471,7175535,7139599,7133664,7233714,7326583,7590366,7304982,7575067,7814064,7782075,8098702
36113,"Warren, NY",4039159,3912669,3940177,3951534,4035493,4204673,4215843,4299247,4325448,5430606,5296637,5549976,4948697,5157137,5388815
36115,"Washington, NY",1869237,1901102,1968546,1939275,1899044,1864251,1813499,1816234,1785621,1916502,1959140,2052494,2017629,2004401,2006852
36117,"Wayne, NY",3846302,3660676,3701159,3796021,3600377,3734618,3878439,3928468,3951555,4069115,3823995,3891384,3985536,3967774,3975009
36119,"Westchester, NY",75474741,75676774,79014741,78307384,79109021,79320460,79910383,81820011,82990266,85453399,86807801,87567594,89664635,90695787,93324101
36121,"Wyoming, NY",1582686,1567482,1591024,1630056,1750678,1633749,1619118,1622473,1704437,1767352,1741745,1820322,1826639,1751719,1820761
36123,"Yates, NY",900837,811118,825925,857256,872832,889631,892124,916163,906406,951410,951233,1074448,1051617,1044741,1044388

Legend/Footnotes
"  Last updated: February 5, 2026-- new statistics for 2024; revised statistics for 2020-2023."
